id,name,launch_date,cores,threads,bus_speed,base_frequency,turbo_frequency,cache_size,max_memory_size,max_temp
884,Intel Core i5-10500T,5/1/2020,6,12,8,2300,3800,12288,134217728,100
885,Intel Core i5-10600,5/1/2020,6,12,8,3300,4800,12288,134217728,100
886,Intel Core i5-10400,5/1/2020,6,12,8,2900,4300,12288,134217728,100
887,Intel Core i5-10600T,5/1/2020,6,12,8,2400,4000,12288,134217728,100
888,Intel Core i5-1038NG7,5/1/2020,4,8,4,2000,3800,6144,67108864,100
889,Intel Core i5-10310U,5/1/2020,4,8,4,1700,4400,6144,67108864,100
890,Intel Core i3-1000NG4,5/1/2020,2,4,4,1100,3200,4096,33554432,100
891,Intel Core i3-10320,5/1/2020,4,8,8,3800,4600,8192,134217728,100
892,Intel Atom C3338R,5/1/2020,2,2,,1800,2200,4096,134217728,88
893,Intel Core i9-10980HK,5/1/2020,8,16,8,2400,5300,16384,134217728,100
894,Intel Core i9-10900T,5/1/2020,10,20,8,1900,4600,20480,134217728,100
895,Intel Core i9-10900,5/1/2020,10,20,8,2800,5200,20480,134217728,100
896,Intel Core i9-10900F,5/1/2020,10,20,8,2800,5200,20480,134217728,100
897,Intel Core i9-10900KF,5/1/2020,10,20,8,3700,5300,20480,134217728,100
898,Intel Core i9-10900E,5/1/2020,10,20,8,2800,4700,20480,134217728,100
899,Intel Core i9-10900TE,5/1/2020,10,20,8,1800,4500,20480,134217728,100
900,Intel Core i9-10900K,5/1/2020,10,20,8,3700,5300,20480,134217728,100
901,Intel Core i9-10885H,5/1/2020,8,16,8,2400,5300,16384,134217728,100
902,Intel Core i3-10300,5/1/2020,4,8,8,3700,4400,8192,134217728,100
903,Intel Core i3-10300T,5/1/2020,4,8,8,3000,3900,8192,134217728,100
904,Intel Core i3-10100,5/1/2020,4,8,8,3600,4300,6144,134217728,100
905,Intel Core i3-10100T,5/1/2020,4,8,8,3000,3800,6144,134217728,100
906,Intel Core i3-10100TE,5/1/2020,4,8,8,2300,3600,6144,134217728,100
907,Intel Core i3-10100E,5/1/2020,4,8,8,3200,3800,6144,134217728,100
908,Intel Xeon W-1290T,5/1/2020,10,20,8,1900,4700,20480,134217728,100
909,Intel Xeon W-10855M,5/1/2020,6,12,8,2800,5100,12288,134217728,100
910,Intel Xeon W-10885M,5/1/2020,8,16,8,2400,5300,16384,134217728,100
911,Intel Xeon W-1250E,5/1/2020,6,12,8,3500,4700,12288,134217728,100
